ID,    Tipo,      Número,   Situação,    Última Verificação, Dias desde verificação
3710,ATO_NORMATIVO,25/2021,TIPO_INVALIDO,Nunca verificada,N/A
3709,ATO_NORMATIVO,29/2022,A_VERIFICAR,Nunca verificada,N/A
3708,ATO_NORMATIVO,41/2024,A_VERIFICAR,Nunca verificada,N/A
3631,DECRETO,11.319/04,VIGENTE,26/05/2025,0
3923,DECRETO,11.349,A_VERIFICAR,Nunca verificada,N/A
3756,DECRETO,11.486/2004,A_VERIFICAR,Nunca verificada,N/A
3744,DECRETO,11.531,A_VERIFICAR,Nunca verificada,N/A
3616,DECRETO,13.556,VIGENTE,26/05/2025,0
3734,DECRETO,14.631,VIGENTE,26/05/2025,0
3629,DECRETO,14.910,VIGENTE,26/05/2025,0
3606,DECRETO,15.085,A_VERIFICAR,Nunca verificada,N/A
3504,DECRETO,15.093/13,VIGENTE,26/05/2025,0
3485,DECRETO,15.093/2013,VIGENTE,26/05/2025,0
3683,DECRETO,15.251,A_VERIFICAR,Nunca verificada,N/A
3718,DECRETO,15.251/2013,VIGENTE,26/05/2025,0
3608,DECRETO,15.299,A_VERIFICAR,Nunca verificada,N/A
3798,DECRETO,15.547,A_VERIFICAR,Nunca verificada,N/A
3758,DECRETO,15.549,A_VERIFICAR,Nunca verificada,N/A
3899,DECRETO,15.555,A_VERIFICAR,Nunca verificada,N/A
3906,DECRETO,15.557,A_VERIFICAR,Nunca verificada,N/A
3729,DECRETO,15.557/2014,VIGENTE,26/05/2025,0
3732,DECRETO,16.226,VIGENTE,26/05/2025,0
3617,DECRETO,16.515,VIGENTE,26/05/2025,0
3752,DECRETO,16.696/2016,A_VERIFICAR,Nunca verificada,N/A
3513,DECRETO,17.083/2017,VIGENTE,26/05/2025,0
3586,DECRETO,17.084/2017,A_VERIFICAR,Nunca verificada,N/A
3724,DECRETO,18.049,VIGENTE,26/05/2025,0
3523,DECRETO,19.876,VIGENTE,26/05/2025,0
3797,DECRETO,19.942,A_VERIFICAR,Nunca verificada,N/A
